Area ID,Name
1,"Aberdeen, SD"
2,"Aberdeen, WA"
3,"Abilene, TX"
4,"Ada, OK"
5,"Adrian, MI"
6,"Albany-Tifton, GA"
7,"Albany-Schenectady, NY"
8,"Albuquerque, NM"
9,"Alexandria, LA"
10,"Allentown-Bethlehem-Easton, PA"
11,"Alpena, MI"
12,"Altoona, PA"
13,"Amarillo, TX"
14,"Anchorage, AK"
15,"Anderson, IN"
16,"Anderson, SC"
17,"Anniston, AL"
18,"Appleton-Oshkosh, WI"
19,"Ardmore, OK"
20,"Asheville-Hendersonville, NC"
21,"Ashtabula, OH"
22,"Athens, GA"
23,"Athens, OH"
24,"Atlanta, GA"
25,"Atlantic City, NJ"
26,"Augusta, GA"
27,"Austin, TX"
28,"Bakersfield, CA"
29,"Baltimore, MD"
30,"Bangor, ME"
31,"Bartlesville, OK"
32,"Baton Rouge, LA"
33,"Battle Creek, MI"
34,"Beaumont-Port Arthur, TX"
35,"Beckley, WV"
36,"Bellingham, WA"
37,"Bemidji, MN"
38,"Bend, OR"
39,"Benton Harbor, MI"
40,"Big Spring, TX"
41,"Billings, MT"
42,"Biloxi-Gulfport-Pascagoula, MS"
43,"Binghamton, NY"
44,"Birmingham, AL"
45,"Bismarck, ND"
46,"Bloomington, IL"
47,"Bloomington-Bedford, IN"
48,"Bluefield, WV"
49,"Blytheville, AR"
50,"Boise-Nampa, ID"
51,"Boston, MA"
52,"Bowling Green-Glasgow, KY"
53,"Bozeman, MT"
54,"Brainerd, MN"
55,"Bremerton, WA"
56,"Brownsville-Harlingen, TX"
57,"Brownwood, TX"
58,"Brunswick, GA"
59,"Bryan-College Station, TX"
60,"Buffalo-Niagara Falls, NY"
61,"Burlington, IA"
62,"Burlington, NC"
63,"Burlington, VT"
64,"Butte, MT"
65,"Canton-New Philadelphia, OH"
66,"Cape Girardeau-Sikeston, MO"
67,"Carbondale-Marion, IL"
68,"Carlsbad, NM"
69,"Casper-Gillette, WY"
70,"Cedar Rapids, IA"
71,"Champaign-Urbana, IL"
72,"Charleston, SC"
73,"Charleston, WV"
74,"Charlotte-Gastonia, NC"
75,"Charlottesville, VA"
76,"Chattanooga, TN"
77,"Cheyenne, WY"
78,"Chicago, IL"
79,"Chico-Oroville, CA"
80,"Chillicothe, OH"
81,"Cincinnati, OH"
82,"Clarksburg-Elkins, WV"
83,"Clarksville, TN-Hopkinsville, KY"
84,"Cleveland-Akron, OH"
85,"Cleveland, TN"
86,"Clinton, IA-Sterling, IL"
87,"Clovis, NM"
88,"Coffeyville, KS"
89,"Colorado Springs, CO"
90,"Columbia, MO"
91,"Columbia, SC"
92,"Columbus, GA"
93,"Columbus, IN"
94,"Columbus-Starkville, MS"
95,"Columbus, OH"
96,"Cookeville, TN"
97,"Coos Bay-North Bend, OR"
98,"Corbin, KY"
99,"Corpus Christi, TX"
100,"Cumberland, MD"
101,"Dallas-Fort Worth, TX"
102,"Dalton, GA"
103,"Danville, IL"
104,"Danville, VA"
105,"Davenport, IA-Moline, IL"
106,"Dayton-Springfield, OH"
107,"Daytona Beach, FL"
108,"Decatur, AL"
109,"Decatur-Effingham, IL"
110,"Denver, CO"
111,"Des Moines, IA"
112,"Detroit, MI"
113,"Dickinson, ND"
114,"Dodge City, KS"
115,"Dothan-Enterprise, AL"
116,"Dover, DE"
117,"Du Bois-Clearfield, PA"
118,"Dubuque, IA"
119,"Duluth, MN"
120,"Dyersburg-Union City, TN"
121,"Eagle Pass-Del Rio, TX"
122,"East Liverpool-Salem, OH"
123,"Eau Claire, WI"
